,magnitude,depth,cdi,mmi,sig,alert
1272,6.9,19.0,9.0,7.0,111.0,yellow
656,6.99,12.0,9.0,8.0,15.0,orange
1031,6.54,9.0,5.0,7.0,-62.0,yellow
1178,7.56,78.0,7.0,7.0,-115.0,yellow
971,6.6,13.0,8.0,8.0,35.0,red
523,7.48,223.0,8.0,7.0,-88.0,orange
1093,6.95,134.0,6.0,6.0,-116.0,yellow
942,7.81,44.0,9.0,7.0,93.0,red
262,7.6,620.0,5.0,4.0,-128.0,green
943,7.44,18.0,9.0,8.0,94.0,red
212,6.5,36.0,6.0,6.0,-114.0,green
657,7.28,23.0,8.0,8.0,-53.0,orange
118,6.6,10.0,5.0,5.0,23.0,green
56,8.2,35.0,8.0,7.0,-28.0,yellow
1288,8.06,32.0,8.0,7.0,-28.0,yellow
636,7.13,10.0,9.0,8.0,5.0,orange
1299,6.5,9.0,9.0,8.0,-29.0,yellow
269,6.6,10.0,7.0,4.0,-93.0,green
179,7.5,19.0,8.0,5.0,87.0,green
164,6.9,21.0,7.0,7.0,-74.0,green
32,6.6,19.0,8.0,5.0,-94.0,green
727,7.13,20.0,8.0,8.0,-46.0,red
913,7.41,9.0,8.0,8.0,18.0,red
219,6.5,12.0,0.0,5.0,-118.0,green
473,7.1,25.0,9.0,8.0,70.0,orange
1266,7.14,20.0,8.0,7.0,-110.0,yellow
17,6.5,622.0,3.0,2.0,-115.0,green
1203,7.23,27.0,7.0,6.0,-80.0,yellow
186,6.5,110.0,6.0,5.0,-107.0,green
328,6.7,18.0,0.0,5.0,-77.0,green
223,6.6,17.0,8.0,7.0,-75.0,green
1077,7.17,16.0,8.0,8.0,24.0,yellow
866,7.06,9.0,9.0,8.0,26.0,red
149,6.5,17.0,0.0,4.0,-118.0,green
254,6.6,10.0,3.0,4.0,-95.0,green
793,7.1,14.0,8.0,8.0,-1.0,red
555,6.63,12.0,8.0,7.0,-13.0,orange
939,7.12,16.0,8.0,8.0,-13.0,red
75,6.9,15.0,9.0,5.0,-29.0,green
368,6.7,573.0,0.0,3.0,-77.0,green
482,7.51,227.0,8.0,7.0,-88.0,orange
797,7.36,12.0,6.0,8.0,-15.0,red
1245,6.78,77.0,6.0,6.0,-105.0,yellow
275,6.6,35.0,5.0,7.0,52.0,green
288,6.5,460.0,3.0,4.0,-116.0,green
1132,6.5,8.0,6.0,7.0,-69.0,yellow
250,6.9,26.0,7.0,6.0,-34.0,green
1098,6.62,10.0,8.0,7.0,-74.0,yellow
877,7.36,18.0,7.0,8.0,-27.0,red
363,7.1,35.0,6.0,4.0,104.0,green
360,7.7,10.0,1.0,8.0,-112.0,green
231,6.8,42.0,3.0,6.0,-52.0,green
1018,6.6,11.0,8.0,8.0,30.0,red
1227,7.66,80.0,8.0,7.0,-113.0,yellow
1095,7.1,145.0,6.0,6.0,55.0,yellow
1055,6.5,9.0,9.0,8.0,-28.0,yellow
261,6.7,602.0,2.0,3.0,-77.0,green
1151,6.53,12.0,8.0,8.0,-36.0,yellow
366,7.1,19.0,9.0,8.0,68.0,orange
174,6.7,20.0,8.0,7.0,-71.0,green
811,6.87,16.0,8.0,8.0,-30.0,red
80,7.6,28.0,9.0,7.0,-115.0,yellow
1277,7.29,119.0,7.0,7.0,61.0,yellow
243,7.0,24.0,7.0,7.0,-13.0,green
93,7.4,10.0,7.0,7.0,105.0,green
988,7.13,19.0,8.0,8.0,-43.0,red
208,6.9,414.0,2.0,3.0,-35.0,green
211,7.9,135.0,9.0,7.0,-37.0,yellow
16,7.0,33.0,9.0,8.0,71.0,yellow
340,7.2,24.0,8.0,7.0,-7.0,yellow
1105,6.81,24.0,8.0,8.0,-127.0,yellow
69,6.5,24.0,0.0,4.0,-118.0,green
199,6.9,93.0,8.0,6.0,-92.0,yellow
342,7.4,39.0,0.0,6.0,74.0,green
47,6.9,93.0,8.0,7.0,-27.0,green
921,7.56,16.0,6.0,8.0,-30.0,red
1233,8.2,17.0,9.0,6.0,8.0,yellow
1177,6.62,54.0,7.0,6.0,117.0,yellow
367,6.6,40.0,5.0,6.0,-77.0,yellow
495,6.53,11.0,7.0,7.0,1.0,orange
442,6.78,46.0,8.0,7.0,-47.0,orange
1094,8.19,24.0,8.0,8.0,51.0,yellow
1027,7.16,9.0,9.0,9.0,79.0,red
974,7.44,8.0,8.0,9.0,13.0,red
23,6.9,10.0,6.0,4.0,-30.0,green
1190,6.53,10.0,7.0,7.0,-103.0,yellow
21,6.6,27.0,6.0,5.0,-6.0,green
1204,6.85,78.0,6.0,6.0,-42.0,yellow
280,6.7,10.0,5.0,5.0,-60.0,green
306,7.0,552.0,4.0,6.0,-8.0,green
529,6.8,11.0,7.0,7.0,-19.0,orange
907,7.51,25.0,9.0,8.0,55.0,red
965,6.73,8.0,9.0,8.0,24.0,red
1196,7.2,24.0,8.0,7.0,-119.0,yellow
355,6.9,10.0,3.0,8.0,-35.0,yellow
1137,6.93,27.0,9.0,7.0,65.0,yellow
1096,6.93,11.0,9.0,7.0,13.0,yellow
446,6.9,33.0,8.0,8.0,-87.0,orange
1184,7.05,13.0,7.0,7.0,107.0,yellow
191,6.5,119.0,3.0,5.0,-117.0,green
436,7.5,20.0,8.0,8.0,-47.0,orange
1278,6.91,22.0,7.0,7.0,-7.0,yellow
301,6.6,10.0,8.0,7.0,-35.0,yellow
125,7.6,10.0,7.0,7.0,-95.0,green
623,6.68,12.0,7.0,7.0,-13.0,orange
1216,6.53,12.0,8.0,8.0,-36.0,yellow
1079,6.98,135.0,5.0,6.0,11.0,yellow
374,6.5,402.0,5.0,3.0,-29.0,green
292,6.9,11.0,1.0,4.0,-36.0,green
691,6.8,10.0,8.0,9.0,-40.0,orange
829,7.59,12.0,8.0,9.0,-8.0,red
302,7.8,8.0,8.0,9.0,4.0,red
263,7.6,606.0,6.0,5.0,-67.0,green
1157,6.74,14.0,8.0,7.0,51.0,yellow
650,6.71,11.0,8.0,8.0,-35.0,orange
239,7.2,78.0,1.0,6.0,30.0,green
1282,6.59,13.0,6.0,7.0,-108.0,yellow
949,6.95,27.0,8.0,8.0,64.0,red
1191,6.5,18.0,7.0,7.0,-124.0,yellow
896,7.36,41.0,9.0,7.0,93.0,red
91,6.6,533.0,4.0,2.0,-84.0,green
135,6.6,43.0,2.0,4.0,-96.0,green
1037,6.63,11.0,6.0,7.0,-64.0,yellow
1217,7.2,22.0,8.0,7.0,-79.0,yellow
1243,7.35,123.0,7.0,7.0,-80.0,yellow
1174,7.29,17.0,8.0,8.0,26.0,yellow
273,7.1,135.0,6.0,6.0,12.0,green
740,7.39,16.0,8.0,9.0,-20.0,red
732,6.6,12.0,8.0,8.0,33.0,red
1086,7.38,106.0,7.0,7.0,-54.0,yellow
480,7.06,42.0,8.0,8.0,73.0,orange
48,6.9,16.0,6.0,4.0,-34.0,green
857,7.08,17.0,9.0,8.0,43.0,red
210,6.5,15.0,8.0,7.0,-50.0,yellow
582,7.02,32.0,8.0,7.0,62.0,orange
753,7.79,8.0,7.0,8.0,1.0,red
1043,6.8,13.0,7.0,7.0,-69.0,yellow
1249,7.41,24.0,8.0,7.0,-81.0,yellow
1193,6.9,108.0,5.0,6.0,43.0,yellow
1226,7.06,138.0,6.0,6.0,55.0,yellow
755,7.2,9.0,9.0,8.0,74.0,red
15,6.6,30.0,7.0,6.0,-96.0,green
1287,7.75,136.0,8.0,6.0,-30.0,yellow
380,7.3,11.0,0.0,6.0,52.0,green
336,6.6,106.0,0.0,5.0,-98.0,green
1130,7.1,22.0,8.0,7.0,-106.0,yellow
1223,6.5,10.0,6.0,7.0,-112.0,yellow
